GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 163200fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 96[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 163200fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 96[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 176800fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 104[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 176800fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 104[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 163200fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 96[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 149600fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 88[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 149600fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 88[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 136000fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 80[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 136000fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 80[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 122400fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 72[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 122400fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 72[[Prototype]]: Object
unified-package-comparison.tsx:535 GIFT CALCULATION DEBUG: {hasSelectedServices: false, selectedServicesCount: 0, servicesPriceSum: 1700, giftSessions: 2, giftValue: 3400, …}baseCost: 136000fallbackUsed: truegiftSessions: 2giftValue: 3400hasSelectedServices: falseselectedServicesCount: 0servicesPriceSum: 1700totalProcedures: 80[[Prototype]]: Object
